name,position,teamCode
Bo Nix,QB,DEN
Jarrett Stidham,QB,DEN
Sam Ehlinger,QB,DEN
RJ Harvey,RB,DEN
Jaleel McLaughlin,RB,DEN
Tyler Badie,RB,DEN
J.K. Dobbins,RB,DEN
Courtland Sutton,WR,DEN
Marvin Mims Jr.,WR,DEN
Troy Franklin,WR,DEN
Lil'Jordan Humphrey,WR,DEN
Pat Bryant,WR,DEN
Evan Engram,TE,DEN
Adam Trautman,TE,DEN
Nate Adkins,TE,DEN
Lucas Krull,TE,DEN
Drake Maye,QB,NE
Joshua Dobbs,QB,NE
Tommy DeVito,QB,NE
TreVeyon Henderson,RB,NE
Rhamondre Stevenson,RB,NE
D'Ernest Johnson,RB,NE
Antonio Gibson,RB,NE
Stefon Diggs,WR,NE
DeMario Douglas,WR,NE
Kayshon Boutte,WR,NE
Efton Chism III,WR,NE
Kyle Williams,WR,NE
Mack Hollins,WR,NE
Hunter Henry,TE,NE
Austin Hooper,TE,NE
CJ Dippre,TE,NE
Trevor Lawrence,QB,JAX
Nick Mullens,QB,JAX
Travis Etienne Jr.,RB,JAX
Bhayshul Tuten,RB,JAX
LeQuint Allen Jr.,RB,JAX
DeeJay Dallas,RB,JAX
Brian Thomas Jr.,WR,JAX
Tim Patrick,WR,JAX
Joshua Cephus,WR,JAX
Jakobi Meyers,WR,JAX
Dyami Brown,WR,JAX
Parker Washington,WR,JAX
Travis Hunter,WR,JAX
Brenton Strange,TE,JAX
Johnny Mundt,TE,JAX
Quintin Morris,TE,JAX
Hunter Long,TE,JAX
Aaron Rodgers,QB,PIT
Mason Rudolph,QB,PIT
Will Howard,QB,PIT
Skylar Thompson,QB,PIT
Jaylen Warren,RB,PIT
Kenneth Gainwell,RB,PIT
Kaleb Johnson,RB,PIT
DK Metcalf,WR,PIT
Marquez Valdes-Scantling,WR,PIT
Roman Wilson,WR,PIT
Calvin Austin III,WR,PIT
Scotty Miller,WR,PIT
Adam Thielen,WR,PIT
Ben Skowronek,WR,PIT
Pat Freiermuth,TE,PIT
Jonnu Smith,TE,PIT
Connor Heyward,TE,PIT
Darnell Washington,TE,PIT
C.J. Stroud,QB,HOU
Davis Mills,QB,HOU
Graham Mertz,QB,HOU
Woody Marks,RB,HOU
Jawhar Jordan,RB,HOU
Nick Chubb,RB,HOU
Dare Ogunbowale,RB,HOU
Nico Collins,WR,HOU
Xavier Hutchinson,WR,HOU
Braxton Berrios,WR,HOU
Jayden Higgins,WR,HOU
Jaylin Noel,WR,HOU
Tank Dell,WR,HOU
Christian Kirk,WR,HOU
Justin Watson,WR,HOU
Dalton Schultz,TE,HOU
Cade Stover,TE,HOU
Harrison Bryant,TE,HOU
Brevin Jordan,TE,HOU
Josh Allen,QB,BUF
Mitchell Trubisky,QB,BUF
James Cook III,RB,BUF
Ty Johnson,RB,BUF
Ray Davis,RB,BUF
Khalil Shakir,WR,BUF
Tyrell Shavers,WR,BUF
Curtis Samuel,WR,BUF
Brandin Cooks,WR,BUF
Gabe Davis,WR,BUF
Joshua Palmer,WR,BUF
Keon Coleman,WR,BUF
Dalton Kincaid,TE,BUF
Dawson Knox,TE,BUF
Jackson Hawes,TE,BUF
Keleki Latu,TE,BUF
Justin Herbert,QB,LAC
Trey Lance,QB,LAC
Omarion Hampton,RB,LAC
Kimani Vidal,RB,LAC
Hassan Haskins,RB,LAC
Jaret Patterson,RB,LAC
Ladd McConkey,WR,LAC
Tre' Harris,WR,LAC
Quentin Johnston,WR,LAC
Derius Davis,WR,LAC
Keenan Allen,WR,LAC
KeAndre Lambert-Smith,WR,LAC
Oronde Gadsden,TE,LAC
Will Dissly,TE,LAC
Tyler Conklin,TE,LAC
Tucker Fisk,TE,LAC
Sam Darnold,QB,SEA
Drew Lock,QB,SEA
Jalen Milroe,QB,SEA
Kenneth Walker III,RB,SEA
Zach Charbonnet,RB,SEA
George Holani,RB,SEA
Kenny McIntosh,RB,SEA
Jaxon Smith-Njigba,WR,SEA
Jake Bobo,WR,SEA
Cody White,WR,SEA
Cooper Kupp,WR,SEA
Dareke Young,WR,SEA
Rashid Shaheed,WR,SEA
Tory Horton,WR,SEA
AJ Barner,TE,SEA
Eric Saubert,TE,SEA
Nick Kallerup,TE,SEA
Elijah Arroyo,TE,SEA
Caleb Williams,QB,CHI
Tyson Bagent,QB,CHI
Case Keenum,QB,CHI
D'Andre Swift,RB,CHI
Kyle Monangai,RB,CHI
Travis Homer,RB,CHI
Roschon Johnson,RB,CHI
Rome Odunze,WR,CHI
Olamide Zaccheaus,WR,CHI
DJ Moore,WR,CHI
Jahdae Walker,WR,CHI
Luther Burden III,WR,CHI
Devin Duvernay,WR,CHI
Colston Loveland,TE,CHI
Cole Kmet,TE,CHI
Durham Smythe,TE,CHI
Jalen Hurts,QB,PHI
Tanner McKee,QB,PHI
Sam Howell,QB,PHI
Saquon Barkley,RB,PHI
Tank Bigsby,RB,PHI
Will Shipley,RB,PHI
AJ Dillon,RB,PHI
A.J. Brown,WR,PHI
Darius Cooper,WR,PHI
DeVonta Smith,WR,PHI
Britain Covey,WR,PHI
Jahan Dotson,WR,PHI
Johnny Wilson,WR,PHI
Dallas Goedert,TE,PHI
Grant Calcaterra,TE,PHI
Kylen Granson,TE,PHI
Cameron Latu,TE,PHI
Bryce Young,QB,CAR
Andy Dalton,QB,CAR
Rico Dowdle,RB,CAR
Chuba Hubbard,RB,CAR
Trevor Etienne,RB,CAR
Jonathon Brooks,RB,CAR
Tetairoa McMillan,WR,CAR
Jimmy Horn Jr.,WR,CAR
Jalen Coker,WR,CAR
Brycen Tremayne,WR,CAR
Xavier Legette,WR,CAR
David Moore,WR,CAR
Tommy Tremble,TE,CAR
Mitchell Evans,TE,CAR
James Mitchell,TE,CAR
Ja'Tavion Sanders,TE,CAR
Matthew Stafford,QB,LAR
Jimmy Garoppolo,QB,LAR
Stetson Bennett IV,QB,LAR
Kyren Williams,RB,LAR
Blake Corum,RB,LAR
Ronnie Rivers,RB,LAR
Jarquez Hunter,RB,LAR
Puka Nacua,WR,LAR
Xavier Smith,WR,LAR
Davante Adams,WR,LAR
Tutu Atwell,WR,LAR
Konata Mumpfield,WR,LAR
Jordan Whittington,WR,LAR
Colby Parkinson,TE,LAR
Tyler Higbee,TE,LAR
Terrance Ferguson,TE,LAR
Davis Allen,TE,LAR
Brock Purdy,QB,SF
Mac Jones,QB,SF
Kurtis Rourke,QB,SF
Christian McCaffrey,RB,SF
Brian Robinson Jr.,RB,SF
Jordan James,RB,SF
Isaac Guerendo,RB,SF
Jauan Jennings,WR,SF
Kendrick Bourne,WR,SF
Brandon Aiyuk,WR,SF
Ricky Pearsall,WR,SF
Skyy Moore,WR,SF
Jacob Cowing,WR,SF
Demarcus Robinson,WR,SF
Jordan Watkins,WR,SF
Trent Taylor,WR,SF
George Kittle,TE,SF
Jake Tonges,TE,SF
Luke Farrell,TE,SF
Jordan Love,QB,GB
Malik Willis,QB,GB
Desmond Ridder,QB,GB
Josh Jacobs,RB,GB
Emanuel Wilson,RB,GB
Chris Brooks,RB,GB
MarShawn Lloyd,RB,GB
Christian Watson,WR,GB
Matthew Golden,WR,GB
Jakobie Keeney-James,WR,GB
Romeo Doubs,WR,GB
Dontayvion Wicks,WR,GB
Savion Williams,WR,GB
Jayden Reed,WR,GB
Bo Melton,WR,GB
Luke Musgrave,TE,GB
Josh Whyle,TE,GB
Tucker Kraft,TE,GB
John FitzPatrick,TE,GB